"id_reac","smiles","description","solvent","catalyst","temperature"
"US039857103","[CH2:1]([SH:13])[CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH3:12].[CH:14](=[O:18])/[CH:15]=[CH:16]/[CH3:17]>C(OCC)C>[CH2:1]([S:13][CH:15]([CH2:16][CH3:17])[CH:14]=[O:18])[CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][CH3:12]","Lauryl mercaptan (1 mole) was stirred with diethyl ether (150 ml) at 10° C and to this was added dropwise crotonaldehyde (1 mole) over a period of 2 hours. After the completion of the addition, the reaction mixture was warmed to room temperature and reacted for a further 22 hours. The reaction mixture was then distilled to give a laurylmercaptobutyraldehyde product fraction (0.90 moles) of boiling range 147°-150° C at 1.5 mm Hg. The reaction mixture was maintained under nitrogen at all times.","C(C)OCC","",""
"US039857261","NC1SN=C2C=CC([N+:11]([O-:13])=[O:12])=CC=12.[S:14](=[O:18])(=[O:17])([OH:16])[OH:15]>>[S:14](=[O:16])(=[O:15])([OH:18])[OH:17].[N:11]([O:13][S:14](=[O:16])(=[O:15])[OH:17])=[O:12]","16.6 parts of 3-amino-5-nitro-2,1-benzisothiazole are introduced into 130 g of sulphuric acid (96% strength) at 25° C. After 90 minutes' stirring a clear solution has been obtained, to which 31 parts of 50% strength sulphuric acid and 25.8 parts of 42.5% strength nitrosylsulphuric acid are added at an interval of 30 minutes. After a further 30 minutes, the mixture is cooled to 5° C and a solution of 17.6 parts of N-ethyl-N-β-caboxyethyl-m-toluidine in 60 parts of glacial acetic acid is added dropwise at this temperature. After a further 30 minutes, the reaction mixture is poured out onto an ice-water mixture and this mixture is stirred for 4 hours. The dyestuff which has precipitated is filtered off, washed until the wash waters are neutral and then dried. The dyestuff of the formula ##SPC13##","CS(=O)C","",""
"US039857291","[CH3:1]Br.[Mg].[CH2:4]([CH2:11][NH:12][CH:13]1[C:21]2[C:16](=[CH:17][CH:18]=[CH:19][CH:20]=2)[C:15](=[O:22])[CH2:14]1)[C:5]1[CH:10]=[CH:9][CH:8]=[CH:7][CH:6]=1>O1CCCC1>[CH2:4]([CH2:11][NH:12][CH:13]1[C:21]2[C:16](=[CH:17][CH:18]=[CH:19][CH:20]=2)[C:15]([CH3:1])([OH:22])[CH2:14]1)[C:5]1[CH:6]=[CH:7][CH:8]=[CH:9][CH:10]=1","In 35 milliliters of tetrahydrofuran, 4 grams methyl bromide is dissolved. One quarter of this solution is then added to 1 gram of magnesium, previously washed with chloroform, and refluxed with tetrahydrofuran for 20 minutes; and this mixture is refluxed 4 hours to initiate reaction. Additional methyl bromide solution is thereafter added to maintain the refluxing without further heating. After the addition has been completed 10 grams of 3-benzylmethylaminoindan-1-one is added and the mixture is refluxed for 2 hours. The reactants are allowed to stand overnight and then poured onto ice-cold ammonium chloride solution. Tetrahydrofuran is added and the two layers formed are allowed to separate. The solvent layer is decanted off and the aqueous layer is extracted twice with 10 milliliters of tetrahydrofuran which are decanted off and combined with the remaining solvent layer. The organic phase is dried over anhydrous magnesium sulphate, filtered and evaporated to dryness to yield 3-benzylmethylamino-1-methylindan-1-ol as a yellow oil.","O1CCCC1","",""
"US039857221","[OH-].[Na+:2].[NH2:3][C@H:4]([C:9]([OH:11])=[O:10])[CH2:5][C:6]([OH:8])=[O:7]>O.CC(C)=O>[NH2:3][C@H:4]([C:9]([O-:11])=[O:10])[CH2:5][C:6]([O-:8])=[O:7].[Na+:2].[Na+:2] |f:0.1,5.6.7|","Sodium hydroxide 8 g was added to a suspension of 13.3 g L-aspartic acid in 72 ml water and 48 ml acetone to form a solution of disodium L-aspartate. This solution was held at 0°C, and the solution of palmitic acid-sulfuric acid mixed acid anhydride and a solution of 12 g sodium hydroxide in 30 ml water was added dropwise simultaneously with stirring. This solution was stirred for 1 hour at 0°C.","CC(=O)C","",""
"US039857222","[OH-].[K+:2].[NH2:3][CH:4]([C:9]([OH:11])=[O:10])[CH2:5][C:6]([OH:8])=[O:7].C(O)C>O>[NH2:3][CH:4]([C:9]([O-:11])=[O:10])[CH2:5][C:6]([O-:8])=[O:7].[K+:2].[K+:2] |f:0.1,5.6.7|","Potassium hydroxide 11.3 g was added to a suspension of 13.3 g DL-aspartic acid in a mixed solvent of 60 ml ethyl alcohol and 60 ml water to form a solution of dipotassium DL-aspartate. To the ice-cooled resultant solution a solution of lauric acid-sulfuric acid mixed acid anhydride and 10 ml of 10 N potassium hydroxide was added dropwise simultaneously with stirring. While the pH was controlled to 12 stirring at room temperature was then continued for 1 hour. The reaction mixture was treated in the similar manner as in Example 3 to obtain 14.3 g crude crystals of N-lauroyl-DL-aspartic acid.","O","",""
"US039857201","[C:1](O[C:1](=[O:5])[CH:2]([CH3:4])[CH3:3])(=[O:5])[CH:2]([CH3:4])[CH3:3].[OH:12][OH:13]>>[C:1]([O:12][O:13][C:1](=[O:5])[CH:2]([CH3:4])[CH3:3])(=[O:5])[CH:2]([CH3:4])[CH3:3]","The data of Example III shows that the combined use of isobutyric anhydride and hydrogen peroxide in amounts sufficient to produce theoretically 4.0 × 10-4 moles of diisobutyryl peroxide can initiate the polymerization of vinyl chloride at 50° C. The data further shows that the peroxide is exhausted early in the polymerization. The data of Example IV shows that the combined use of diethyl pyrocarbonate and hydrogen peroxide in amounts sufficient to produce theoretically 3.35 × 10-4 moles of diethyl peroxydicarbonate can initiate the polymerization of vinyl chloride at 50° C. and provide high conversions. Thus, by combining the initiation systems of Examples III and IV as, for example, in Example I (4.5 × 10-4 total moles of theoretical initiator), a smooth and continuous polymerization to high conversions is obtained.","O","",""
"US039857202","[CH:1](Cl)=[CH2:2].C(O[O:10][C:11](=[O:15])C(C)C)(=O)C(C)C.C([O:21][C:22]([O:24][CH2:25][CH3:26])=[O:23])(=O)OCC.[OH:27]O>>[C:22]([O:21][O:10][C:11]([O:15][CH2:1][CH3:2])=[O:27])([O:24][CH2:25][CH3:26])=[O:23]","The data of Example III shows that the combined use of isobutyric anhydride and hydrogen peroxide in amounts sufficient to produce theoretically 4.0 × 10-4 moles of diisobutyryl peroxide can initiate the polymerization of vinyl chloride at 50° C. The data further shows that the peroxide is exhausted early in the polymerization. The data of Example IV shows that the combined use of diethyl pyrocarbonate and hydrogen peroxide in amounts sufficient to produce theoretically 3.35 × 10-4 moles of diethyl peroxydicarbonate can initiate the polymerization of vinyl chloride at 50° C. and provide high conversions. Thus, by combining the initiation systems of Examples III and IV as, for example, in Example I (4.5 × 10-4 total moles of theoretical initiator), a smooth and continuous polymerization to high conversions is obtained.","O","",""
"US039857321","[CH3:1][N:2]1[C:8](=[O:9])[O:7][C:5](=O)[C:4]2=[CH:10][CH:11]=[CH:12][CH:13]=[C:3]12.[NH:14]1[CH2:21][CH2:20][CH2:19][C@H:15]1C(O)=O.C(O)C>CS(C)=O>[CH3:1][N:2]1[C:3]2[CH:13]=[CH:12][CH:11]=[CH:10][C:4]=2[C:5](=[O:7])[N:14]2[CH2:21][CH2:20][CH2:19][CH:15]2[C:8]1=[O:9]","The N-methyl isatoic anhydride (I) and L-proline (II) are reacted in a solvent such as ethanol or dimethyl sulfoxide at 25° to 200° C. for a period of 1 to 24 hours to produce the dextrorotatory isomer of the 1,2,3,11a-tetrahydro-10-methyl-5H-pyrrolo[2,1-c][1,4]benzodiazepin-5,11(10H)-dione.","CS(=O)C","",""
"US039857322","[CH3:1][N:2]1[C:8](=[O:9])[O:7][C:5](=O)[C:4]2=[CH:10][CH:11]=[CH:12][CH:13]=[C:3]12.[NH:14]1[CH2:21][CH2:20][CH2:19][C@H:15]1C(O)=O>C(O)C>[CH3:1][N:2]1[C:3]2[CH:13]=[CH:12][CH:11]=[CH:10][C:4]=2[C:5](=[O:7])[N:14]2[CH2:21][CH2:20][CH2:19][CH:15]2[C:8]1=[O:9]","A mixture of 17.7 g. of N-methyl isatoic anhydride, 11.5 g. of L-proline and 250 ml. of ethanol is heated on a steam bath for three hours and then concentrated to remove the ethanol. The residue is mixed with benzene and a small portion of water and the layers are separated. The benzene layer is washed twice with water and concentrated to remove the solvent. The residue is triturated with ether. The crystals which form are collected by filtration and recrystallized from ethyl acetate yielding the pure dextrorotatory isomer, melting point 120°-122° C., [α]D25 + 486° (1%, methanol).","C(C)O","",""
"US039857323","[NH:1]1[CH2:8][CH2:7][CH2:6][C@H:2]1[C:3]([OH:5])=O.[CH3:9][N:10]1C(=O)O[C:13](=[O:14])[C:12]2=[CH:18][CH:19]=[CH:20][CH:21]=[C:11]12.CS(C)=O>O>[CH3:9][N:10]1[C:11]2[CH:21]=[CH:20][CH:19]=[CH:18][C:12]=2[C:13](=[O:14])[N:1]2[CH2:8][CH2:7][CH2:6][CH:2]2[C:3]1=[O:5]","A mixture of 12.3 g. of L-proline, 17.7 g. of N-methyl isatoic anhydride and 100 ml. of dimethyl sulfoxide is heated on a steam bath for 40 minutes. The mixture is cooled and diluted with 250 ml. of cold water. The precipitate is recovered by filtration, washed with water and then ether, air dried and then recrystallized from ethanol yielding the intermediate L-1-(N-methylanthraniloyl)proline, melting point 140°-142° C., [α]D25 -165° C. (1.1%, methanol).","O","",""
"US039857324","[NH:1]1[CH2:8][CH2:7][CH2:6][C@H:2]1[C:3]([OH:5])=O.[CH3:9][N:10]1C(=O)O[C:13](=[O:14])[C:12]2=[CH:18][CH:19]=[CH:20][CH:21]=[C:11]12.CS(C)=O>O>[CH3:9][N:10]1[C:11]2[CH:21]=[CH:20][CH:19]=[CH:18][C:12]=2[C:13](=[O:14])[N:1]2[CH2:8][CH2:7][CH2:6][CH:2]2[C:3]1=[O:5]","A mixture of 12.3 g. of L-proline, 17.7 g. of N-methyl isatoic anhydride and 100 ml. of dimethyl sulfoxide is heated on a steam bath for 6 hours, cooled and then diluted with 250 ml. of water. The reaction mixture is extracted three times with benzene. The combined benzene layers are washed twice with water and concentrated to remove the solvent. The residue is recrystallized from ethyl acetate yielding the pure dextrorotatory isomer.","O","",""
"US039857325","[NH:1]1[CH2:8][CH2:7][CH2:6][C@H:2]1[C:3]([OH:5])=O.[F:9][C:10]1[CH:22]=[C:14]2[C:15](O[C:18](=O)[N:19](C)[C:13]2=[CH:12][CH:11]=1)=[O:16].CS(C)=O>O>[F:9][C:10]1[CH:11]=[CH:12][C:13]2[N:19]([CH3:18])[C:3](=[O:5])[CH:2]3[CH2:6][CH2:7][CH2:8][N:1]3[C:15](=[O:16])[C:14]=2[CH:22]=1","A mixture of 6.2 g. of L-proline, 10.0 g. of 5-fluoro-N-methylisatoic anhydride and 30 ml. of dimethyl sulfoxide is heated on a steam bath for 6 hours, cooled and then diluted with 100 ml. of water. The reaction mixture is evaporated with benzene and the benzene layer is washed twice with water and concentrated. The residue is dissolved in ether and cooled. The crystals are filtered off and dried in a vacuum oven. The dextrorotatory 7-fluoro-1,2,3,11a-tetrahydro-10-methyl-5H-pyrrolo[2,1-c][1,4]benzodiazepin-5,11(10H)dione melts at 131°-132°, [α]D25 + 417° (1.6%, methanol).","O","",""
"US039857326","[CH2:1]1[CH:5]2[C:6](=[O:16])[NH:7][C:8]3[CH:15]=[CH:14][CH:13]=[CH:12][C:9]=3[C:10](=[O:11])[N:4]2[CH2:3][CH2:2]1.[CH3:17][O-].[Na+].CI>C(O)C>[CH3:17][N:7]1[C:8]2[CH:15]=[CH:14][CH:13]=[CH:12][C:9]=2[C:10](=[O:11])[N:4]2[CH2:3][CH2:2][CH2:1][CH:5]2[C:6]1=[O:16] |f:1.2|","A mixture of 4.32 g. of 1,2,3,11a-tetrahydro-5H-pyrrolo[2,1-c][1,4]benzodiazepin-5,11(10H)-dione, 1.2 g. of sodium methylate and 40 ml. of ethanol is stirred at room temperature for 3 hours and 3 ml. of methyl iodide is added. The reaction mixture is stirred for 16 hours longer and concentrated. The residue is mixed with benzene and water and the layers are separated. The benzene layer is washed with water and concentrated. The product is further purified by recrystallization from ethyl acetate and melts at 124°-126° C.","C(C)O","",""
"US039857327","[CH3:1][NH:2][C:3]1[C:4](=[CH:15][CH:16]=[CH:17][CH:18]=1)[C:5]([N:7]1[CH2:14][CH2:13][CH2:12][C@H:8]1[C:9](O)=[O:10])=[O:6].S(Cl)(Cl)=O>C1C=CC=CC=1>[CH3:1][N:2]1[C:3]2[CH:18]=[CH:17][CH:16]=[CH:15][C:4]=2[C:5](=[O:6])[N:7]2[CH2:14][CH2:13][CH2:12][CH:8]2[C:9]1=[O:10]","A mixture of 24.8 g. of (-)-1-(N-methylanthraniloyl)-proline and 300 ml. of benzene is stirred and 12.0 g. of thionyl chloride is added dropwise. The mixture is heated at reflux temperature for 2 hours, cooled, washed twice with water and concentrated to recover the (+)-1,2,3,11a-tetrahydro-10-methyl-5H-pyrrolo[2,1-c][1,4]benzodiazepin-5,11(10H)-dione.","C1=CC=CC=C1","",""
"US0398573211","[CH2:1]([N:8]1[CH2:15][CH2:14][CH2:13][C@H:9]1[C:10]([OH:12])=O)[C:2]1[CH:7]=[CH:6][CH:5]=[CH:4][CH:3]=1.S(Cl)(Cl)=O.[CH3:20][NH:21][C:22]1[C:23](=[CH:29][CH:30]=[CH:31][CH:32]=1)[C:24]([O:26][CH2:27][CH3:28])=[O:25]>C1C=CC=CC=1>[CH2:1]([N:8]1[CH2:15][CH2:14][CH2:13][CH:9]1[C:10]([N:21]([CH3:20])[C:22]1[C:23](=[CH:29][CH:30]=[CH:31][CH:32]=1)[C:24]([O:26][CH2:27][CH3:28])=[O:25])=[O:12])[C:2]1[CH:3]=[CH:4][CH:5]=[CH:6][CH:7]=1","A mixture of 21 g. of N-benzylproline and 300 ml. of benzene is stirred and 12 g. of thionyl chloride is added dropwise. The reaction mixture is heated on the steam bath for 2 hours, and 18 g. of ethyl N-methylanthranilate are added. The mixture is heated at reflux temperature for 6 hours, washed with dilute sodium hydroxide and concentrated. The residue is purified by partition chromatography and ethyl N-(N-benzyl-2-pyrrolidinylcarbonyl)-N-methylanthranilate is obtained.","C1=CC=CC=C1","",""
"US0398573212","[NH:1]1[CH2:5][CH2:4][CH2:3][CH:2]1[C:6]([N:8]([CH3:20])[C:9]1[C:10](=[CH:16][CH:17]=[CH:18][CH:19]=1)[C:11](OCC)=[O:12])=[O:7].Cl>>[CH3:20][N:8]1[C:9]2[CH:19]=[CH:18][CH:17]=[CH:16][C:10]=2[C:11](=[O:12])[N:1]2[CH2:5][CH2:4][CH2:3][CH:2]2[C:6]1=[O:7]","A mixture of 10 g. of ethyl N-(2-pyrrolidinylcarbonyl)-N-methylanthranilate and 200 ml. of 3N alcoholic hydrogen chloride is heated on the steam bath for 6 hours and then concentrated. The residue is purified by chromatography on a hexane/methanol/celite system and racemic 1,2,3,11a-tetrahydro-10-methyl-5H-pyrrolo[2,1-c][1,4]benzodiazepin-5,11(10H)-dione is obtained.","C1=CC=CC=C1","",""
